revision,filepath,startline,endline,cloneid,methodid,globalcloneid,changecount
735,librt/g_ars.c,422,435,75,175,54,0
735,mged/dm-tek4109.c,468,504,38,353,90,0
735,mged/dm-tek4109.c,144,162,93,359,91,0
735,mged/dm-tek.c,404,440,37,373,92,0
735,mged/dm-tek.c,113,122,94,379,93,0
735,librt/g_arb.c,409,420,86,440,115,0
735,librt/g_ars.c,401,415,54,448,55,0
735,util/pix-both-ik.c,158,167,80,458,60,0
735,util/pix-filt-ik.c,141,150,79,459,61,0
735,util/pix-lowp-ik.c,145,154,78,460,62,0
735,mged/arbs.c,581,665,9,532,131,0
735,mged/proc_reg.c,213,297,8,533,132,0
735,util/pix-both-ik.c,203,264,12,542,63,0
735,util/pix-filt-ik.c,154,215,13,543,64,0
735,liboptical/sh_text.c,253,267,82,545,113,0
735,rt/sh_text.c,253,267,81,546,114,0
735,liboptical/sh_cloud.c,130,157,34,552,84,0
735,rt/sh_cloud.c,130,157,33,553,85,0
735,liboptical/sh_cloud.c,104,115,88,554,86,0
735,rt/sh_cloud.c,104,115,87,555,87,0
735,liboptical/sh_cloud.c,57,97,31,556,50,0
735,rt/sh_cloud.c,57,97,32,557,51,0
735,mged/typein.c,1191,1200,89,595,38,0
735,mged/typein.c,1086,1095,90,595,39,0
735,util/pix-both-ik.c,125,152,28,642,65,0
735,util/pix-filt-ik.c,108,135,29,643,66,0
735,util/pix-lowp-ik.c,112,139,30,644,67,0
735,mged/chgmodel.c,448,459,84,712,40,0
735,mged/chgmodel.c,777,788,83,731,41,0
735,mged/chgtree.c,303,319,65,749,70,0
735,mged/dm-tek.c,331,388,15,805,94,0
735,mged/dm-tek4109.c,395,452,14,806,95,0
735,liboptical/sh_plastic.c,132,148,63,819,109,0
735,rt/sh_plastic.c,132,148,62,820,110,0
735,librt/g_half.c,189,200,85,831,116,0
735,libbn/mat.c,291,308,44,836,1,0
735,librt/mat.c,291,308,43,837,2,0
735,liboptical/sh_plastic.c,646,660,72,876,117,0
735,rt/sh_plastic.c,646,660,73,877,118,0
735,util/pix-both-ik.c,171,199,22,889,68,0
735,util/pix-lowp-ik.c,158,186,23,890,69,0
735,fb/fb-pix.c,68,87,41,901,101,0
735,fb/fb-pix.c,90,109,42,901,100,0
735,fb/pix-fb.c,94,111,49,908,103,0
735,fb/pix-fb.c,74,91,50,908,102,0
735,libbn/mat.c,155,168,95,934,3,0
735,librt/mat.c,155,168,96,935,4,0
735,libbn/mat.c,370,399,26,936,12,0
735,librt/mat.c,370,399,27,937,13,0
735,libbn/mat.c,411,455,19,938,14,0
735,librt/mat.c,411,455,18,939,15,0
735,libbn/mat.c,186,262,10,944,5,0
735,librt/mat.c,186,262,11,945,6,0
735,libbn/mat.c,121,141,52,946,7,0
735,librt/mat.c,121,141,51,947,8,0
735,libbn/mat.c,334,354,46,951,9,0
735,librt/mat.c,334,354,45,952,10,0
735,liboptical/sh_plastic.c,108,124,61,977,111,0
735,rt/sh_plastic.c,108,124,60,978,112,0
735,mged/arbs.c,855,878,35,985,133,0
735,mged/proc_reg.c,486,509,36,986,134,0
735,fb/pix-fb.c,130,145,57,991,104,0
735,util/dunncolor.c,131,146,55,992,105,0
735,util/dunnsnap.c,101,116,56,993,106,0
735,librt/g_pg.c,329,342,74,1028,56,0
735,librt/g_pg.c,308,322,53,1032,57,0
735,liboptical/sh_plastic.c,579,621,20,1048,74,0
735,rt/sh_plastic.c,579,621,21,1049,75,0
735,liboptical/sh_plastic.c,492,549,16,1050,119,0
735,rt/sh_plastic.c,492,549,17,1051,120,0
735,liboptical/sh_plastic.c,220,467,0,1054,76,0
735,rt/sh_plastic.c,220,467,1,1055,79,0
735,liboptical/sh_plastic.c,84,100,59,1056,82,0
735,rt/sh_plastic.c,84,100,58,1057,83,0
735,liboptical/sh_plastic.c,81,81,-1,1057,77,0
735,liboptical/sh_plastic.c,81,81,-1,1057,78,0
735,liboptical/sh_plastic.c,81,81,-1,1057,77,0
735,liboptical/sh_plastic.c,81,81,-1,1057,78,0
